,0
0,-208.30969281616828
1,-207.56853341247265
2,-206.8959823278226
3,-207.4985903496207
4,-206.00834641108293
5,-205.6275639689624
6,-203.4198498050819
7,-202.96908754131434
8,-203.1149290662289
9,-202.2591216672024
10,-201.95093998964504
11,-198.41042637793106
12,-197.17621920976376
13,-199.19033012419288
14,-195.59441297479808
15,-196.24017938035755
16,-194.09172580660797
17,-193.0543511339707
18,-193.26216315337032
19,-191.25077498488452
20,-190.45846773241456
21,-190.1551383006728
22,-186.84902162457115
23,-185.73756250016788
24,-183.9159444857774
25,-180.19571086181608
26,-179.2158839443811
27,-178.44206406578317
28,-177.1037054023062
29,-176.16333919969694
30,-174.36841689372312
31,-171.62212438621745
32,-170.75593356425117
33,-170.59963533028593
34,-169.4297516723664
35,-166.92533078516237
36,-166.41576030921414
37,-163.48016530378231
38,-163.0804323298504
39,-160.8542504971486
40,-158.14388167114993
41,-157.3644389744964
42,-155.96566694062133
43,-156.3315504623983
44,-153.2759510875866
45,-148.65883159295007
46,-147.0451400370095
47,-143.94783976318192
48,-139.9118954183913
49,-137.3479920484967
50,-136.1293726469263
51,-135.10584546359718
52,-133.8050055307444
53,-131.7951170542131
54,-130.52738285131258
55,-127.04085590113125
56,-126.73050560063761
57,-124.6383648862576
58,-124.08877092085973
59,-123.55990640766814
60,-121.1752791504325
61,-118.47957876056509
62,-118.2807354544521
63,-115.53833130598724
64,-113.03642799392665
65,-111.4506625788154
66,-111.5306341695025
67,-109.88913118429868
68,-106.50895671837647
69,-103.24007283303665
70,-102.43573069056478
71,-101.48663084551181
72,-100.90186974873308
73,-97.63223854403634
74,-96.98599840962767
75,-97.75473505691758
76,-95.57383821615159
77,-92.56934505969397
78,-93.4124859664352
79,-94.05759585334039
80,-90.84959315474933
81,-88.30845160487674
82,-86.2422709883404
83,-84.32571402529558
84,-80.54500059418477
85,-78.55332777173615
86,-75.44998790507476
87,-75.33759970528678
88,-74.9671660107356
89,-72.62182373334112
90,-72.32377284385723
91,-66.59687812740007
92,-61.52773194584536
93,-54.2991835163102
94,-49.70567394150641
95,-48.33935235369549
96,-46.765344232573554
97,-43.50284516375889
98,-44.497735215844244
99,-40.636965024775066
100,-40.12600779800253
101,-42.38316728384855
102,-41.86673605252716
103,-38.68448435567021
104,-36.88775835280492
105,-36.28184045434512
106,-34.703683153053746
107,-30.370159462025427
108,-28.471204524238914
109,-28.356466367113466
110,-26.21849957801854
111,-24.529475312621095
112,-22.701795559213043
113,-18.085417191496358
114,-18.507265707177204
115,-18.396072548154475
116,-16.54481978033841
117,-16.913659500143304
118,-15.205006079864631
119,-13.211041677853105
120,-13.341112722327207
121,-12.342984921707423
122,-9.331637067671135
123,-7.090196764353494
124,-6.390548431739237
125,-3.162528274263762
126,-3.0391457231948906
127,-2.132323742804103
128,-2.009841050314106
129,-1.7815479640214462
130,-2.630235951979111
131,-3.758330925293251
132,-1.9008024430865933
133,-0.2318518996693185
134,2.9687969931542115
135,6.4483404020870125
136,7.826556073622286
137,6.689637053605421
138,8.864615256745902
139,11.916193704693974
140,12.312829604643206
141,15.156249870809553
142,15.488533105139489
143,18.790202278050806
144,19.210881349837397
145,21.047127920521735
146,24.06608805957291
147,26.865827127813294
148,29.153243441145275
149,31.837271704825174
150,34.4675734622788
151,36.589520986476764
152,38.78937607747733
153,41.482032871120765
154,43.182363979412074
155,44.57258677304207
156,44.9322726611299
157,47.27447899778495
158,49.90279827663231
159,52.674668128320974
160,53.94049663093495
161,55.59894479583508
162,56.4416165771113
163,56.34699026910142
164,58.377705178160205
165,59.16433195331862
166,62.102821831291465
167,63.80162606557122
168,63.614484739413726
169,65.00179331867604
170,67.79751180579966
171,67.67508314121363
172,70.03660336260819
173,70.54935574924212
174,72.70639985079079
175,73.71480222005837
176,76.1631679393815
177,75.618971836406
178,78.3923704287606
179,80.68692230076978
180,80.64702795537261
181,80.16115884938824
182,82.54098395413058
183,84.56019895834663
184,84.0851635965982
185,83.94716026385822
186,84.8012185929926
187,87.1677985340473
188,87.37005016121279
189,89.87343029522278
190,91.11511634713082
191,87.76414046614944
192,86.97164875945946
193,83.85803730613694
194,82.62000288669114
195,84.22212869825977
196,83.32315446718441
