,0,1,2,3,4
0,-152.0375967151107,-164.11865745976857,-152.0176355555178,-144.8644642090845,-152.77847232962242
1,-151.01322911793264,-163.6726572795682,-151.64713962973966,-144.4038461951187,-151.84349336759743
2,-152.9595898869796,-165.56097143643603,-151.05855384004786,-143.21686009183853,-150.67754415688117
3,-150.94456474102225,-165.91228343129114,-150.80787672665912,-144.14141540101193,-151.19357356075525
4,-151.0055918013448,-165.68554491452767,-148.1809008458166,-145.4627653438746,-152.21901462278757
5,-152.4748451675732,-164.8989233167054,-148.3571578164414,-145.94274241439354,-152.18926082425907
6,-151.5825623848838,-165.5738041949349,-146.8157293754216,-145.18782493802337,-152.05529116839
7,-150.7657711969366,-164.51343608641878,-147.45851101781278,-144.78124552438322,-149.36729783682713
8,-150.257043789852,-164.9196543313048,-146.00350062034806,-145.86867532967116,-146.70532393418713
9,-146.6214264036919,-166.19599759886023,-145.0391558877409,-147.88422783880162,-146.19620359046317
10,-144.4743683509646,-166.49542556745112,-146.46988055490894,-146.20318634223793,-146.13310455574003
11,-145.94236812243733,-165.78767435871444,-145.68867852486986,-146.11634901393373,-145.71385995765527
12,-145.74658132833332,-165.68983595307589,-145.60136359480686,-146.2326151942237,-144.12147305586186
13,-144.44067450231069,-161.08153343192964,-144.32011119626736,-145.84288911035938,-143.52789694557458
14,-142.5147607546719,-160.22941032766713,-143.1493053169592,-141.95180722130715,-143.60629316031367
15,-142.4868514252179,-158.7508032099162,-143.29236432108613,-141.90550028726548,-144.14506880253455
16,-143.07995587037826,-158.6887476392859,-142.31079457854435,-141.62106694095408,-145.84679336467875
17,-140.88065588638338,-158.25003482696147,-140.08223472974856,-140.20261507241727,-145.0584461125754
18,-140.60353593582758,-160.29545984434478,-138.25173336832486,-141.9474414178636,-144.67468901838103
19,-141.7216404482082,-160.86128514934953,-139.322765135225,-140.61017640074914,-143.34362225612233
20,-140.1048575478712,-159.39031508773542,-138.7170213853378,-138.95857042749316,-143.60699763100362
21,-142.17322611313676,-157.11879444901348,-136.712833823355,-138.44856253397492,-142.97495106319263
22,-143.13356533572372,-157.46787474604417,-136.02890056398982,-136.22293835343254,-140.94582972556975
23,-141.78875453367993,-158.10073585532845,-134.88929086546847,-135.51204526742634,-140.03036681979032
24,-139.46890220598857,-154.4407606880113,-134.46319774047947,-139.1430670854351,-140.29261599195027
25,-139.33716816595827,-153.55877645241716,-131.52828763659446,-138.80627440472298,-139.8688637427955
26,-138.9233889602259,-153.3546554866624,-131.14600114133634,-139.83959086448812,-137.6496007694811
27,-138.25416777520317,-153.81038549826687,-130.66028391400462,-139.08219878872123,-135.2717632931225
28,-137.05602793635182,-149.9737847568835,-130.51692040486776,-139.79900104647214,-134.29087568091524
29,-135.5681277461302,-151.36312207251652,-127.85465216976425,-139.87049091355135,-133.9171480292982
30,-134.71240822440578,-149.21853539383744,-127.25096754419569,-140.40180284466413,-133.94537680884986
31,-135.566349862469,-146.30272791161894,-129.5110521890927,-140.0932411002968,-131.47622014060914
32,-135.13867875453832,-145.78863009666796,-127.62756838406743,-139.6256197837881,-128.87592331186963
33,-132.61576206706746,-145.41617155081508,-126.4030222692366,-135.86325777086824,-130.27043997474257
34,-132.67063119277455,-146.20937333165995,-126.83522397943761,-135.51747727062386,-129.72628095602317
35,-131.4285949588974,-145.73624583903901,-123.82582991801601,-136.70836702751294,-130.30553220724568
36,-129.84488431172497,-147.6714791586711,-122.87712278617913,-137.21003786450513,-129.7576745733147
37,-131.13513002264398,-147.74499865772944,-125.15617649876009,-140.73179799874376,-129.78876972053757
38,-130.9973474193484,-146.3158887380582,-123.83834539242784,-143.30470054390838,-130.18815620246937
39,-130.62012054300666,-143.5328700553672,-121.19057650947869,-142.2505256578446,-129.63657973211258
40,-131.44134772981536,-140.42579999526083,-124.90283696309726,-139.7877409818886,-128.28557711041285
41,-129.57256281212472,-140.59506922396315,-125.26383817756304,-140.21336141294876,-128.37269723341151
42,-128.1406862857836,-141.0634994014219,-124.2412352658133,-141.80330943041153,-126.89310841069131
43,-128.28634056508614,-142.0086846777723,-121.06473092252513,-145.6183186564487,-123.31334149143251
44,-126.59174076078114,-141.4595461795736,-119.50845099978511,-145.1849521736188,-123.84478919935418
45,-128.6712580177523,-141.03900450804286,-119.65492137532561,-144.88805664566206,-121.16353761940096
46,-128.32978789018824,-137.7480834129026,-120.69351180025451,-145.34666984090094,-121.70793897076328
47,-127.6969862764549,-138.5740122254064,-120.23911836439208,-144.62841316879565,-118.4468451311414
48,-128.26863135702564,-137.12317045541926,-119.89985157157602,-144.20958812271505,-118.34196907286145
49,-128.6369641854815,-135.65970692380154,-117.00937168146713,-142.42043001493045,-119.05085403583799
50,-129.7247793421885,-135.42697120512966,-116.2496499157248,-141.8013695369881,-116.89616072637426
51,-128.1969411363656,-135.0295689631442,-115.10107788751306,-145.31690981548948,-118.10365173468695
52,-129.78954997739766,-136.70281720236528,-112.57890163121958,-149.57197766659215,-119.61045394253414
53,-129.2353859103881,-135.8755726462032,-113.11085165872402,-150.0441559111363,-119.20645446989391
54,-126.53920765006147,-136.01835838903074,-111.55271512010913,-150.9141653824403,-117.9667239702698
55,-124.28082139349988,-134.2145961504064,-111.88330978291721,-152.49586747045328,-115.55345085841763
56,-123.628430517651,-133.10696431457092,-110.64023817536204,-156.2649618506647,-112.82319255054468
57,-121.98577379553062,-132.2990720122242,-111.39193683211339,-157.09970975322648,-112.58611788157637
58,-120.99234685106687,-130.13493764203506,-112.60527197428172,-156.95722986612802,-111.27895909846025
59,-122.10110129115702,-130.34679504557673,-111.3236650056233,-155.64740698908633,-111.24605765011184
60,-122.5953111472601,-130.38175662596356,-111.67522660336991,-153.60803488549817,-109.67756009359464
61,-122.47616642625289,-127.6789851192974,-109.44656473872588,-153.31206445561094,-108.74608884916246
62,-120.66186231720843,-128.92054696333034,-108.34401294005045,-152.9477025298,-103.55860361938285
63,-119.79707634257325,-127.97520299000612,-106.82416012072132,-152.07800253716573,-103.94160743813546
64,-119.84426198203178,-127.70244580692288,-104.86676926422996,-150.93069144358262,-102.72847503633953
65,-118.72761776925402,-128.38969826054029,-102.17242147345581,-150.84345267650122,-101.6322441743037
66,-117.87346502946019,-127.7195204418519,-99.48681631377153,-151.14182957362175,-99.9838987091255
