,0,1
0,-259.44903420917376,-364.93623887750357
1,-258.74248166552894,-364.48221599983464
2,-251.10781719242001,-361.9439824798937
3,-246.16831171057282,-357.27903279910754
4,-243.29815970842742,-352.2079958397615
5,-241.24281474255307,-348.47659620655423
6,-237.51120988510945,-346.57836695313665
7,-236.19688904605172,-346.9027353711364
8,-235.7372503411751,-348.09746497917126
9,-233.88700180109157,-346.14564942325165
10,-231.2187616674909,-343.6377279446294
11,-227.4956805686361,-340.60187547199473
12,-224.43284275435408,-336.9120731330705
13,-220.83674435071836,-333.87538664035435
14,-218.49627841017752,-330.7451746845218
15,-216.6502029702666,-328.7300327676066
16,-214.69191873758052,-325.4091736875544
17,-211.55663713356037,-320.69589903945854
18,-210.18330997970497,-316.7181965906037
19,-209.3218307136046,-316.8231094716354
20,-207.80556565299227,-317.6344535385657
21,-206.0679971392268,-318.0156221969145
22,-205.294781026158,-316.9289555044338
23,-205.1378583797085,-316.73639786920495
24,-203.9012034107879,-313.7217084998843
25,-205.60099581419084,-312.5973074425888
26,-206.07475629499078,-310.3454564140139
27,-205.05664956150684,-309.487849893129
28,-206.0113086842137,-307.2839086403263
29,-207.79683101035752,-305.00764449756014
30,-208.01534931496386,-305.33732822888686
31,-207.79479036998524,-302.1449488376863
32,-206.8147124781352,-298.69020397972594
33,-207.3299926796816,-296.72237189977665
34,-207.60361531665112,-292.7497083693856
35,-208.16999290660794,-291.1806455363411
36,-207.60098959670574,-286.92292374741623
37,-207.81655824994294,-287.21821556739883
38,-207.88990778981199,-283.18607262890487
39,-208.63486248806285,-277.5109218485044
40,-207.12157946982356,-275.4194452372345
41,-206.39569661006365,-270.8984243684315
42,-206.49967331840335,-268.0279324465749
43,-206.4389950349691,-266.7705247738268
44,-204.57495742987987,-262.2283195536976
45,-203.88897615821273,-256.02995772454176
46,-201.76104964667357,-254.9413207152411
47,-201.59326231296657,-252.32848713228222
48,-197.36895757529524,-250.23824737890226
49,-197.30545777360174,-246.5354875732376
50,-195.14590097453362,-245.9548099516314
51,-195.05874055290369,-244.20772725789996
52,-195.13877356098598,-238.8726895070256
53,-191.25067616524458,-234.40793671233249
54,-189.67866749375833,-229.69259784506957
55,-188.91955049853095,-225.33638243330185
56,-188.54002096671942,-221.21523220262367
57,-187.87951586200256,-216.06912189949654
58,-184.7003957144561,-211.0562282371663
59,-182.6423569668919,-207.64025842785873
60,-180.90923957928834,-204.33804923085722
61,-179.23944131703735,-206.25047685789815
62,-178.9726233769564,-192.00295534727152
63,-179.31920483035603,-186.59285731423665
64,-178.46916983176246,-178.0530972562883
65,-176.25789584845955,-175.53289206322933
66,-174.10179121298995,-170.28253844166807
67,-173.18338278586657,-164.01657084073292
68,-170.87361331403042,-163.17321313178272
69,-169.44369487558455,-159.99399050715883
70,-167.20132211352032,-157.53202582520007
71,-166.10975096627456,-155.7309236705263
72,-164.16952960972088,-155.0921720482283
73,-162.39564236379263,-156.85920928968616
74,-159.97891426553576,-156.93524158669518
75,-158.83347185006832,-157.7351941312064
76,-156.5260700558781,-158.00031370749258
77,-154.1757839743724,-157.8755859806286
78,-150.92506674996545,-158.15143965200616
79,-148.9773608738834,-158.63739794901315
80,-147.89774177857208,-159.89856841652085
81,-146.29393348721288,-160.5360191496826
82,-144.8647468060817,-162.2364913458314
83,-144.40341369186865,-161.75350054540505
84,-143.00829277474878,-163.3821503835199
85,-141.6909501621681,-164.81204378415327
86,-139.637310603039,-164.7197876219327
87,-138.01018908701633,-166.25233141202793
88,-136.53506751626367,-167.52691406631502
89,-134.5531343676554,-168.61064443311426
90,-133.1982367643252,-169.3552555967989
91,-131.8903555309879,-169.98112035366572
92,-130.5765520781848,-171.58420085244038
93,-129.63516841176067,-172.17312105995097
94,-127.17923591279799,-173.12324352328505
95,-126.4783119726804,-174.3069883766261
96,-125.90932691517376,-176.07005516821278
97,-124.96211607473684,-176.86462194544234
98,-122.49032142022077,-178.2626168561964
99,-121.25956800371732,-178.86415968538432
100,-119.35396983254766,-180.19182106408326
101,-117.93822497981176,-180.6328517132649
102,-118.09280590771043,-182.0350320465607
103,-117.0542115613841,-181.78481274712533
104,-116.03721628780912,-182.84399858153066
105,-116.9159585265046,-183.35391145526535
106,-117.04231243609775,-185.00508606702476
107,-117.25189211937777,-185.8628091106097
108,-117.11195811680696,-185.97362162861828
109,-117.9294886891875,-186.4453261232197
110,-118.18818826791966,-184.54935169495963
111,-118.4320051709809,-184.97782188956765
112,-118.66071796639784,-185.67461801927143
113,-118.67669217358537,-184.77983696339598
114,-118.67448135121462,-184.56025256694565
115,-118.95428256582495,-184.69551235519975
116,-119.41671731964497,-185.81289468832486
117,-119.6533996672983,-185.67233738082308
118,-119.9546026187755,-186.14337646706542
119,-120.02543435258332,-186.1705804314293
120,-120.60326950954318,-185.28688784757247
121,-120.16605693931483,-185.838559621681
122,-119.3847418696941,-186.62558140012555
