,0,1,2,3,4
0,-143.70179038586687,-127.32504899130168,-133.40255238766645,-149.625126745833,-140.6860519231819
1,-140.90301849232023,-127.03447956396231,-133.39900563922475,-148.56216762203417,-138.3476697055975
2,-140.6335567393063,-126.35176751675101,-133.78933918382384,-145.05344005791218,-138.44093122391382
3,-141.01146788248988,-127.57531612344793,-131.5114008580516,-143.02842717983046,-134.86146915605
4,-139.27078214885643,-127.17683297583667,-129.83012709106026,-141.99080883467522,-131.7441012350957
5,-139.58345775294396,-125.99281025639459,-130.54493608235475,-140.78612089233692,-128.14653561780472
6,-139.29250751463584,-125.88735789696861,-130.18935806704093,-141.44532690055036,-127.93223002025783
7,-137.05372693712346,-125.8236338532853,-128.88112291717405,-140.51646859491484,-127.99037801042886
8,-136.32648940336853,-125.38543610528822,-125.66806658082584,-136.17035811675984,-125.4156375680922
9,-135.56091474219915,-122.6723165748764,-125.1714904453931,-132.91784218752883,-125.01732236968375
10,-131.20266274513457,-122.65790681226929,-122.82226438236673,-130.01996792366316,-123.90819337532817
11,-128.00995767877603,-120.03115936297652,-122.19987930806978,-123.8135159336017,-123.17921806091942
12,-126.04157975318014,-119.3592649775079,-120.91284019047093,-122.3474064271621,-122.63780222135846
13,-124.11617508449203,-119.52648474386957,-120.19167296322746,-122.06633579772192,-121.08577106558998
14,-123.9371099705367,-120.04639836339653,-120.47211713581278,-122.04106993501358,-120.17916954887654
15,-122.9028073051985,-119.92025973116472,-118.88395787202224,-119.91357369973828,-121.71524624015623
16,-119.45316810513434,-116.75088862544739,-119.25600555965568,-116.2493951446184,-119.98641136809383
17,-117.1110548509803,-114.0883725303946,-118.80742581885455,-116.29497112720038,-119.45576595482862
18,-117.37222759592558,-114.61228509681037,-118.61470826963928,-115.83636819619745,-119.1491900869224
19,-115.21113629711597,-114.33251505173044,-118.30940796710314,-113.94038389473688,-118.5779402200384
20,-113.59344235342523,-111.46701110452989,-118.01811837759527,-112.40859984221554,-117.50269689079806
21,-111.39067268549076,-110.84204073141025,-118.23426263660993,-108.21754865466036,-116.80142987037362
22,-110.42058436391655,-109.761369433467,-117.36805587685996,-107.70959652072678,-117.07650748191222
23,-108.79883745993214,-107.59198612808663,-114.93980441172485,-106.22898001711877,-114.70996622733357
24,-107.67817858868179,-107.31382173104772,-113.3145009717782,-103.85077486670473,-114.51349165766663
25,-106.38018868339505,-107.32961069360758,-112.898435670875,-103.56040142661112,-113.60511141318133
26,-105.60173261175888,-107.27339418597784,-112.28619921634922,-98.40152580070414,-113.16954078034118
27,-104.2682639059541,-105.97868993761291,-111.33546355896743,-94.98652562269977,-115.61737273451472
28,-104.32691163837261,-104.29608908474998,-108.4883441562712,-94.97204887721182,-115.0956081953488
29,-103.75840459385245,-104.12957513713043,-106.257930738155,-94.49534995667922,-115.01782705864414
30,-101.81127461393957,-104.24682996276279,-104.29895625261993,-93.43089155836958,-113.78817896085049
31,-100.0645935262367,-101.9939246315157,-104.20199891603289,-91.55108315650784,-113.63183079192171
32,-98.4951028038832,-98.26433488386303,-104.72900939808245,-90.16764642082897,-114.03599079575463
33,-97.64399485311041,-95.044869932336,-103.34130780662653,-89.53651103206045,-114.38648071407631
34,-96.49124259431098,-94.78923347127653,-104.39514290160358,-85.94869780133105,-114.10603011451282
35,-95.25981260185421,-93.81952364100307,-102.38302396634656,-85.46480695770632,-113.85259986624662
36,-93.80064194628424,-93.61426697349292,-100.81148162731328,-84.92410010164744,-113.17772834687399
