,0,1,2,3,4
0,-122.69265191984705,-113.28551930548764,-131.7281122904074,-147.9715646642834,-149.4959282494671
1,-121.00823436348263,-110.28932911474945,-129.4673756633439,-147.57813998337113,-149.19702355282345
2,-120.88401625792339,-111.58073268661032,-127.6708228877448,-147.25023470492917,-148.1212329761552
3,-118.23655500730852,-111.33131940169142,-124.57885870731577,-147.3030682358439,-146.457060187433
4,-116.93671716878998,-109.561461283765,-121.13610966895452,-146.46144520284582,-144.94371422346842
5,-115.88578416882841,-106.02298987137901,-120.25884970323067,-145.9894562275226,-144.74207862475032
6,-115.27588984920959,-105.77803958062218,-117.71101083507669,-145.36365129881898,-141.6953174517075
7,-116.49726770561658,-105.1241904287744,-116.74535167177264,-144.74656568173046,-139.55740473249347
8,-116.64517569353467,-104.86476282383575,-115.36672173995929,-143.6330162535646,-139.56266186036484
9,-115.02916550471619,-104.07695234920311,-114.49672081266588,-143.92435715363985,-138.48697978838024
10,-115.29906599047166,-99.8708724648821,-111.93013908474309,-142.09800481578972,-138.56905399543038
11,-112.77234350091773,-99.22549325039435,-111.53100247890382,-140.28867437164902,-138.0197048737438
12,-111.15515586664839,-94.62731017598884,-111.16147676189694,-139.3377262892541,-137.04868658713096
13,-110.69391131173647,-91.04119336771893,-110.65400246406249,-138.47220067708574,-136.5206138280938
14,-110.08595315744329,-89.7589809977148,-108.7681137939,-137.2996072486319,-137.70616471803802
15,-109.19423832947086,-89.91733388505705,-107.43831067756166,-134.94525543112678,-135.15650519061526
16,-107.87873610351048,-89.64186906727224,-106.24778751930022,-133.58663029201634,-133.45509338279936
17,-106.22378993974624,-91.52106246546927,-105.51535594506647,-132.58552950232595,-134.5068057961932
18,-106.27921286718257,-90.83015091004432,-102.2915398491441,-132.13536398649214,-131.3640619235766
19,-105.42553858166859,-85.7318534938019,-98.75216715841408,-132.11558996072355,-131.10667470260054
20,-105.01858139601201,-85.49842941888633,-95.2809092463045,-130.23825081269104,-131.21282085784614
21,-104.02356579872671,-84.85791654183697,-95.62943451093946,-129.9279554599245,-130.6840990300393
22,-103.33619248187111,-83.9305615616181,-95.8355857701445,-127.44616125308352,-126.55816363401287
23,-102.5973863114433,-81.19936499073822,-95.1077393115652,-127.89136408330087,-126.09691473158833
24,-101.72765586368214,-81.01562971500879,-93.33601419156477,-125.20600274849228,-126.95519546411637
25,-101.28472832963274,-76.19567850405394,-91.58777109598557,-125.54541173282412,-125.73108838873202
26,-99.5733399642102,-74.89953426284687,-91.47768003052782,-122.5907571813853,-125.72080958711507
27,-98.87162679781817,-73.90195076635348,-90.37783951774384,-121.11931621835701,-125.3297776861628
28,-98.82845822458954,-72.38227435612534,-87.99140921841031,-118.31078659399573,-124.40700992658392
29,-97.80914736260588,-71.87382634861581,-86.91576178319409,-115.6140581160276,-124.79258940038869
30,-92.58649948264032,-72.89322410116395,-85.78298108695947,-115.35655711348831,-125.84477344757546
31,-91.43724263156432,-69.52158128165016,-85.00479345369259,-113.61737704308722,-125.10731325789955
32,-91.16078124737571,-68.40626170304415,-82.10332474285083,-112.98544407072355,-124.44366794364974
33,-90.07886854423813,-68.13020119445405,-81.771118074263,-113.22770822863977,-123.87041917620462
34,-87.67562730318132,-66.62297859595331,-80.31245115950401,-110.82227829074219,-123.27298259934891
35,-84.91250751263428,-66.30647285070519,-78.41144334008169,-110.97077547669167,-124.00459357039402
36,-83.88718642774334,-65.3093951375732,-77.40867002332666,-109.2728928258745,-123.45920954087796
37,-83.43065177786019,-65.57129782519424,-76.9789325517896,-106.50281405999095,-122.54088455013849
38,-83.635915065841,-63.78336602356456,-75.68479001883577,-105.01871628685105,-122.36205132356439
39,-83.38356358402035,-61.5530140906113,-75.29233315041036,-103.19682429494964,-122.03386328572073
40,-81.44737529141513,-61.148122140736206,-74.31401487887145,-104.59045769735327,-120.01188490727256
41,-78.6369121126481,-60.69833303626487,-72.53774359414457,-101.94270037966243,-118.45031053098486
42,-78.21091387522374,-59.372844895715424,-72.53761593151764,-100.47041337423994,-116.93400916123147
43,-77.8235802140625,-58.756120031199316,-71.23116937618795,-100.28097560240673,-115.69608197905403
44,-77.5922984833316,-55.06638962870842,-70.87805712795982,-97.55977022535569,-114.36605750838673
45,-77.95338557634466,-55.48343368792927,-69.89079133946986,-94.8198265172798,-113.25883349084648
46,-77.13547908202781,-56.04970234125835,-67.69988572827167,-94.42484842060803,-112.93599547956664
47,-75.87734133454855,-51.187742465209766,-67.38242778573459,-92.21940765310832,-113.07981472716914
48,-76.12202598983369,-51.933311421123584,-67.09949328431567,-90.51946758119786,-112.06555811384384
49,-75.47628291168421,-51.57097875061896,-65.62054309865498,-88.31405253421697,-110.54691300565945
50,-71.09509271244322,-52.00263183093863,-63.67828440338508,-84.86090360937794,-110.57152400430418
51,-70.63304905624895,-50.31387691770623,-62.67186402900861,-82.71619215686455,-108.25322487320162
52,-70.18252449843017,-51.33933086391653,-59.73949470209706,-80.5082207847948,-107.98798774559354
53,-66.58305103169954,-51.74999741803429,-57.879254861787324,-80.27377747870564,-105.87293791729509
54,-67.01752255339068,-50.98417428335577,-57.442291848186215,-78.24774490904731,-105.50556333448152
55,-65.99818863960189,-51.7134831702588,-56.81439463515361,-76.67096987408725,-103.53099930440104
56,-63.95571258320167,-49.55622177947349,-55.16280870295333,-73.93329431810201,-103.47014790889554
57,-61.62745878039543,-45.77925054470535,-57.70902258539404,-73.99326504278878,-103.63826318120357
58,-61.83134956358704,-43.64069308427696,-57.69754890614449,-73.33351237469468,-101.61968965406571
