,0
0,-176.30198361349358
1,-175.09308957311808
2,-177.57021028059134
3,-181.99677948988202
4,-180.26208045976665
5,-176.16072344230838
6,-172.6634936972949
7,-170.11699466056263
8,-170.85587012141553
9,-171.65705648241791
10,-168.76140003275853
11,-170.31864720099023
12,-165.554405725939
13,-161.08583641035904
14,-164.17714098491174
15,-163.8199826479251
16,-164.89071006152454
17,-161.01185403114235
18,-156.02052167135162
19,-153.75721398762468
20,-150.80203374264903
21,-148.21191875952024
22,-146.39632744153502
23,-146.655540579924
24,-146.73791518744022
25,-146.07618591314778
26,-144.09715582805336
27,-141.4293457951728
28,-145.876628990129
29,-144.62897471258995
30,-142.6644895836595
31,-141.9522951764503
32,-141.08336138194736
33,-138.74982159688062
34,-136.19489869569531
35,-133.22304863357954
36,-132.24383467258295
37,-131.82027988442573
38,-129.27872979560564
39,-125.28738933427312
40,-124.02837366739193
41,-120.96787271381773
42,-121.00225707181157
43,-121.60730077146445
44,-121.24873321416646
45,-118.48532751154178
46,-116.37198730009966
47,-114.1600596630458
48,-111.55755344947765
49,-109.30036535484167
50,-108.9699924515805
51,-107.49260438104902
52,-105.35367298415808
53,-102.64391029772702
54,-100.78991827783652
55,-99.33342782325039
56,-97.10909404236125
57,-95.33395052300494
58,-94.12414732795486
59,-94.16017561566
60,-91.11541924998113
61,-89.13411667405433
62,-88.3146489745399
63,-88.6715372165315
64,-86.11963154405562
65,-85.236252049159
66,-82.7581418020366
67,-79.6964851322546
68,-79.33584958850359
69,-79.76103132393484
70,-77.96366021852064
71,-77.78657333429706
72,-75.93816367006225
73,-74.20142198857826
74,-73.38258548687978
75,-72.71793679030174
76,-71.83718318818147
77,-70.51520231415472
78,-70.6198537608321
79,-72.05223821815167
80,-72.6384993891409
81,-73.62430178968118
82,-73.91348812584992
83,-73.61558398842978
84,-70.39003951761039
85,-69.21560813669062
86,-69.46922128131037
87,-68.78541202329205
88,-69.34935687985904
89,-69.43965552697534
90,-69.62721617804257
91,-70.30866199194396
92,-70.25002029650392
93,-71.46070166603815
94,-68.5250848319705
95,-66.61073495531835
96,-64.72461747627325
97,-67.09501860606355
98,-62.12413567136686
99,-62.195067971834945
100,-62.58392016367823
101,-61.36979188782135
102,-58.91766290694467
103,-52.01466014061239
104,-53.62705442742196
105,-56.12765790533234
106,-58.04401000065499
107,-59.80497158373772
108,-59.93399986536356
109,-56.721183331876645
110,-56.211788328656304
111,-55.03171334060055
112,-57.29208131948094
113,-58.93037482981992
114,-53.05684064036053
115,-49.92494295746132
116,-46.26119644950949
117,-46.67150939517927
118,-48.78458680657456
119,-47.96531309039825
120,-50.47942715842072
121,-52.89195310998253
122,-52.4608820621805
123,-50.95726042722706
124,-49.00363838420036
125,-47.25366306616703
126,-46.56105647285075
127,-43.635238284411315
128,-35.873470032094296
129,-35.05370743788129
130,-33.69420653173108
131,-34.183072323694304
132,-34.70064576768161
133,-33.89234018292145
134,-31.824039597774316
135,-31.98267044934466
136,-31.51065034161353
137,-28.92407123467084
138,-27.083387058742495
139,-26.320787476868485
140,-24.1655675926143
141,-22.34926049634619
142,-19.808966649747124
143,-19.63181116038707
144,-16.34801215730894
145,-14.02418885041501
146,-14.260747107516702
147,-12.994653470861053
148,-13.935482771731975
149,-13.60111180792205
150,-14.068039295574884
151,-13.470067864700729
152,-9.592967336220857
153,-8.47882731804271
154,-6.21390922706161
155,-3.564043674917306
156,-4.556462929109795
157,-3.5899396867247386
158,-1.1550928437940282
159,0.48549531137732077
160,1.3378328345394306
161,1.5671863007554618
162,1.4304325895972005
163,4.16097508623288
164,5.4000796604664565
165,8.421292937128362
166,7.0630520019099015
167,6.969346872328664
168,8.606268475577465
169,8.015826814067855
170,10.613110283054937
171,12.387885323830664
172,12.106156219803225
173,15.023758907034544
174,14.448845011815143
175,17.31498833164116
176,20.316330642508834
177,22.617199825035783
178,24.66373373466339
179,24.638396586030286
180,27.42384851042639
181,27.755350958471254
182,29.708784380016535
183,31.78370527400047
184,30.67198170255109
185,29.907534259250664
186,32.94075560507205
187,32.379469435631705
188,33.91045080449857
189,35.88431342776742
190,35.817286350244984
191,38.07301841749425
192,39.69272341417777
193,42.23853155566764
194,42.842784013723815
195,41.94055634499865
196,39.68274790676812
197,42.03425418505725
198,44.47773120187951
199,45.050313067644076
200,44.06810221086007
201,45.8625505644012
202,48.021394473288126
203,50.58132419661155
204,52.81400197821342
205,55.38278509218026
206,54.60622699456776
207,54.39021130121669
208,57.61150279349369
209,57.56339916872395
210,59.223462854228465
211,62.69816353751467
212,64.03987886763116
213,63.285299765764556
214,62.46339382838857
215,60.54330404754137
216,63.02588372312821
217,65.54814627432674
218,67.22465603178702
219,69.4475658126856
220,68.68171296239132
221,71.1674365902565
222,70.29928912344194
223,69.77576880555733
224,69.27804084261028
225,69.64899342413543
226,68.89744220632448
227,66.32476698126669
228,65.97218513201803
229,67.8944029470814
230,68.2647936997369
231,70.48549905764261
232,72.97510092590656
233,73.04873672497077
234,69.89931069657023
235,72.83463651162816
236,75.33914108456284
237,75.88550969696463
238,72.99425793242015
239,72.26070868049537
240,70.4571749439712
241,71.4150775134378
242,68.4689501091592
243,69.16087837372699
244,66.34977969785666
245,66.48305743959484
246,69.22323279474895
247,70.40930328914165
248,72.63229804752247
249,75.02367462500864
250,76.35694144702815
251,75.1595076088994
252,74.49370374471829
253,72.74857473191298
254,72.17407738533662
255,73.58056122143736
256,77.32509815816508
257,77.14042092589088
258,74.95435103317031
259,76.03281937703274
260,77.62788936077138
261,77.78572588469962
262,80.96228196447788
263,80.89224641546667
264,80.56004888900821
265,78.36257656939576
266,81.69934016669308
267,84.79526468757098
268,84.98539119757075
269,88.0965241595942
270,86.53123704662572
271,84.51008442008951
272,85.20183402479114
273,84.82256418534558
274,87.71565823267953
275,87.32641974947319
276,87.00557020166747
277,87.33637641557362
278,86.00884700600272
279,88.94292178624693
280,86.60837747275644
281,88.91936968184199
282,85.80990743518355
283,83.44082716298361
284,84.12085729372542
285,82.98935701474903
286,83.77621990496611
287,86.84662811899551
288,86.96794106878664
289,87.10546586960349
290,89.8918686187162
291,89.70719215148364
292,90.74043410385075
293,90.61856441443442
294,92.48817157940104
295,93.13792615594757
296,95.91560775282026
297,95.55092364745879
298,95.10066549816094
299,97.16678947143505
300,100.91011142394362
301,101.20053294534661
302,99.67113962753903
303,99.7805467442501
304,100.3583551270527
305,97.86881860442085
306,101.35131171183387
307,104.03658268503347
308,103.38196388264305
309,106.00325884635872
310,105.97524519661467
311,105.75584514548981
312,106.73981180740202
313,107.11129812209367
314,108.50898026268662
315,110.33514451655927
316,110.02668144646175
317,109.82938885443808
318,110.0949103457821
319,110.75206831157688
320,113.16539424214443
321,113.25357969995777
322,117.27152573149277
323,120.41414801864826
324,122.74025029973883
325,125.41474083341423
326,128.38072156720136
327,130.70892297779116
328,133.6731853877704
329,134.23092982882187
330,134.56157749319541
331,134.77700650595662
332,135.78787859625925
333,135.55080301655903
334,138.7035456914762
335,138.8365215169433
336,138.19232798880685
337,137.88081951877876
338,140.7091585374533
339,141.24753928704308
340,143.4135392038302
341,143.1056260678012
342,140.86753517312803
343,143.3512258976135
344,145.55879247484714
345,145.37014833162186
346,145.09447183367325
347,143.43612557231035
348,144.12487838219042
349,145.07052112140605
350,146.03075924773674
351,149.4351406889468
352,149.29548734989007
353,152.51011431599903
354,153.03286639075935
355,151.80758917000134
356,151.70874768712022
357,153.93147513119004
358,156.74016655753567
359,156.58797590925485
360,156.95194269079025
361,156.13213190506534
362,155.64933104085048
363,155.68736977534644
364,157.16719501855658
365,159.4446839400559
366,160.09363929299462
367,156.80162285294205
368,157.0981634579161
369,157.74115871218186
370,159.26190370621862
371,161.7104303487173
372,163.3934862669015
373,163.20957321722764
374,162.5259604665133
375,161.88733287641966
376,162.43542619050126
377,162.9881807059781
378,165.25171755497314
379,165.15051974522927
380,167.60911111003952
381,168.02568468839672
382,170.4559842020846
383,173.04723643011755
384,173.36649364609494
385,175.11553337050333
386,174.27937807058242
387,174.32573478327447
388,174.93469250864936
389,175.82965457203582
390,175.52296493916344
391,175.65276728095617
392,175.00963060516526
393,174.99876807813675
394,175.74104361943773
395,176.39339118047894
396,175.7639077019975
397,176.66789256964782
398,177.0094348825716
399,177.09115539991473
400,177.39061453304575
401,176.95486481177883
402,179.69873316716544
403,179.60596750826443
404,177.4216402856937
405,178.11477059582913
406,177.54558358720624
407,178.04559344633296
408,178.49016322926897
409,178.84707148377146
410,180.16726367806018
411,180.20185797136827
412,180.39298644877482
413,183.25180025950624
414,182.93218693718228
415,183.48818565193727
416,184.29364638322494
417,184.79596598409458
418,185.27226358518652
419,184.6654307196015
420,185.9402331199002
421,185.69207787427615
422,184.87693992467507
423,185.23147414487855
424,185.92622328608732
425,185.28983736847206
426,185.3698342324159
427,185.94751345667802
428,186.17820723915685
429,186.2703393515115
430,185.8146103293993
431,186.2805756160292
432,186.04638947442626
433,185.466043700034
434,185.67514164296398
435,186.21407584649324
436,187.27005152778838
437,187.3401527510804
438,185.1566062010087
439,187.76554853622412
440,188.2801060824145
441,187.6889178859783
442,193.0620751544524
443,192.7915725826138
444,189.29871723020864
445,186.41425930817837
446,187.3769115110806
447,189.72642345867595
448,190.3116794777946
449,190.07281048463864
450,189.25247013391373
451,188.77400501660813
452,189.49500593783597
453,189.5339670363211
454,189.93031767170433
455,190.2010847027668
456,190.90216907919407
457,191.47509821181833
458,191.7753610816493
459,191.81278301943337
460,192.40678130421995
461,194.337494544909
462,194.8433868118839
463,196.03358078781065
464,196.9141436402068
465,197.82961167812155
466,197.48309194871388
467,201.21853692050863
468,201.34697417000865
469,201.31161790739415
470,202.06565659547925
471,203.07899363814832
472,201.73567236641372
473,202.30053955288543
474,202.8774852507883
475,203.624752899572
476,202.23266875153345
477,202.0212039099119
478,201.31480637752375
479,201.59225039497505
480,201.85241504805543
481,201.70971249338982
482,201.74340592976893
483,202.60615971876084
484,202.06227170486275
485,203.34439567394952
486,204.26768649738827
487,204.24369938847275
488,204.63883791747824
489,204.6474303158847
490,205.04247184676242
491,205.97880653433248
492,206.604098383781
493,207.55002373827497
494,206.79742748358132
495,208.08270956291133
496,208.50016195273616
497,208.88349796526506
498,208.167559570244
499,208.37854773750084
500,207.49269047961243
501,208.4533555726977
502,208.81359106988003
503,209.25948540053872
504,211.45512266869935
505,213.22670734263463
506,213.33727817229598
507,213.49741392144787
