,0
0,-141.4607550261275
1,-142.57474608521505
2,-143.24689147886204
3,-142.9366314198895
4,-146.093521243155
5,-142.7453869447334
6,-142.92173186266754
7,-143.8319247951318
8,-143.6320241979519
9,-143.89991443963265
10,-141.51280925220297
11,-141.65551607374488
12,-141.3186190202995
13,-136.3317662388449
14,-137.80664999459594
15,-137.68706983964123
16,-137.6986012464387
17,-136.21233911164794
18,-134.2231965602779
19,-132.19112612242395
20,-127.29323544373975
21,-125.81092343557135
22,-122.63688946929875
23,-119.43210947537183
24,-114.86067459132119
25,-110.38055021793434
26,-109.48132145404742
27,-107.27252763404452
28,-105.90630812002763
29,-102.89037322911066
30,-101.87275871517296
31,-100.72995408884316
32,-100.46942940485211
33,-105.76530945448653
34,-108.95476364791179
35,-110.64313319534577
36,-108.87428816347575
37,-109.4191465052364
38,-112.75778626284618
39,-111.21695748154617
40,-108.37998944960769
41,-110.86667475768962
42,-109.45378283176386
43,-109.65876686675739
44,-108.07242611525152
45,-115.76202837789519
46,-111.11334365700942
47,-114.09672678359564
48,-115.82025697479672
49,-115.01509035706101
50,-113.86338329884144
51,-113.00447776133646
52,-109.77473044164638
53,-106.88221679373254
54,-106.01475708108181
55,-106.48132657875331
56,-107.0803995608728
57,-106.53027601435264
58,-108.16916951425459
59,-106.18463478639394
60,-104.04179772358951
61,-101.87087692393297
62,-101.84995207104613
63,-99.60446491676038
64,-102.29041852533749
65,-101.45597982321846
66,-101.17909027202391
67,-101.323534190403
68,-101.08779745263209
69,-100.7709393469492
70,-96.74111188578678
71,-96.50436269193375
72,-95.27213135042925
73,-96.60121656932624
74,-96.5592087182644
75,-93.4464033087887
76,-94.05198553114322
77,-93.57091866795159
78,-90.5665483010901
79,-92.08869733201047
80,-91.10996376989516
81,-90.3192686773491
82,-91.05587811169367
83,-90.33392556578968
84,-90.61069839837278
85,-90.1632737678409
86,-88.78632771660882
87,-88.67738028463971
88,-90.59774393846584
89,-92.26235106626557
90,-93.79893388758317
91,-94.4782965817891
92,-97.5644974845797
93,-96.478527539522
94,-96.20752318482022
95,-99.2283519989255
96,-100.51918740837637
97,-99.28730132432567
98,-99.64497974308988
99,-100.07342884963352
100,-98.57290399769077
101,-97.22227130695383
102,-96.6869600111417
103,-96.1535752783695
104,-92.8652572876359
105,-92.54776262694999
106,-92.19353327478834
107,-91.0021149546546
108,-90.26329597560115
109,-88.99774862375334
110,-89.63159156042575
111,-88.34336418274361
112,-88.40959969237235
113,-89.32878028784903
114,-87.80152674629088
115,-84.53344034007782
116,-84.45392909201267
117,-83.46248670565843
118,-82.95493718088905
119,-83.53225599121043
120,-84.18080983843257
121,-83.11888901137556
122,-81.68186867842955
123,-83.79682741954572
124,-82.13674661148274
125,-84.72401784228427
126,-84.76874654060548
127,-84.50057172232722
128,-84.58709877986134
129,-87.0203932815162
130,-86.53441642354632
131,-83.14907233111245
132,-82.34151987967999
133,-76.87189418668319
134,-70.1822981571731
135,-67.2090315234416
136,-66.03744822570799
137,-65.6795436872738
138,-61.14653489697627
139,-61.190804510510745
140,-63.127007494221765
141,-59.17189871249893
142,-57.558824684660195
143,-56.87943909858719
144,-56.26337142776085
145,-48.402438610999276
146,-49.60652568775387
147,-47.272797592176346
148,-45.32192188116539
149,-44.98332273038609
150,-45.25987635051385
151,-44.671712569599386
152,-47.098259907634116
153,-46.6212615882663
154,-45.70561634862387
155,-45.64348491306961
156,-45.24686902735405
157,-45.79128576365913
158,-45.21750552344224
159,-44.844723790419636
160,-47.09473511317033
161,-46.92975122446214
162,-46.46083172063118
163,-46.439386613424695
164,-42.65731632624034
165,-40.31611473204921
166,-39.61177768855394
167,-39.83927848606505
168,-37.23950140590603
169,-34.58548378475592
170,-34.555216868388385
171,-33.99629636926222
172,-33.312491814380984
173,-32.55022963995301
174,-29.293820468905242
175,-30.977059528395944
176,-28.009135935670283
177,-27.250467491225404
178,-24.734721619506608
179,-24.762364458077563
180,-22.510099782155972
181,-21.65774366120333
182,-20.83034509750905
183,-18.186146156400333
184,-17.312362817090108
185,-16.684987456673902
186,-15.91223185741506
187,-15.73070026519761
188,-16.46365186482548
189,-15.316162316635966
190,-15.482019458663393
191,-12.648923303321098
192,-11.419721194225263
193,-9.656938668383887
194,-7.318743930155619
195,-6.882199974069136
196,-3.1705253543591723
197,-2.718852972938371
198,-2.947874723683942
199,-0.5170870920951665
200,1.8298945637889625
201,5.068843705001742
202,8.632086491860996
203,11.04590342930606
204,14.226309281317715
205,14.428400173898945
206,16.729585810091013
207,20.05307567166499
208,22.513240649311328
209,24.420076797549985
210,27.62536359026222
211,29.625992671757547
212,29.44807422730123
213,31.976348930303228
214,34.37138214469714
215,34.63941118064292
216,34.17319205786787
217,35.98779127591811
218,38.94472924257575
219,41.623468676579186
220,42.330412082946026
221,44.552195812514455
222,47.06050573069679
223,46.58722274237926
224,43.54143600780957
225,46.11208841574061
226,49.5498551555001
227,51.85843649316862
228,52.33433312734027
229,55.57034624059657
230,58.45325346152861
231,58.539394724870235
232,60.973771319012556
233,63.661440827650495
234,62.3508917926534
235,65.29553628486997
236,67.91253897181767
237,70.46473024223612
238,72.49135035536209
239,75.93436500884992
240,78.5372547555191
241,81.16372954009809
242,84.25625461132768
243,86.76330281645627
244,89.32423926454062
245,91.8824757650461
246,94.36795659862872
247,97.60624600581222
248,100.57058710930654
249,103.36750846767757
250,105.74380982313481
251,107.54739291584761
252,111.06717103847176
253,113.47696237461516
254,116.27468466550721
255,119.25379678288958
256,122.09199806093322
257,125.14612691571806
258,127.71035309691662
259,131.07132857030595
260,134.5339593378565
261,137.15557475952522
262,139.2755029353304
263,140.29203315800078
264,141.18316427659227
265,141.63258289515798
266,144.73559484279457
267,147.80122766371122
268,147.90607256858257
269,147.74386786296185
270,151.70256788529653
271,154.0981439278441
272,156.77707609922538
273,160.21925941748154
274,160.13152731032258
275,162.14982903988
276,162.55902021066396
277,164.838215894104
278,164.208143199886
279,164.28965917640627
280,164.62698091307306
281,166.37393568981838
282,169.0437402878585
283,170.11144256199438
284,172.27406940439795
285,174.66769416904705
286,177.30178496960656
287,179.11082401715169
288,183.77979574294332
289,185.987981022967
290,189.7145109487862
291,189.28362285910097
292,191.3271442276075
293,192.40220105352185
294,192.40753693595073
295,194.8644124018691
296,195.02955849308887
297,196.91840670025647
298,199.61223262217555
299,200.02401372007327
300,200.14195698467356
301,199.37670748393776
302,199.48687430135908
303,197.89465800757193
304,197.58779248209368
305,200.311566372722
306,200.72486625853497
307,200.19027708389956
308,200.1520056325518
309,201.136061746375
310,200.62085189716174
311,201.2334713672804
312,201.78326022557073
313,201.55735398833323
314,201.8647570823615
315,202.26110119118536
316,205.28493116047974
317,205.94593611043575
318,206.22492422755374
319,206.36475623446628
320,208.33698390351682
321,207.84905853606676
322,207.86952425442226
323,210.71008031614977
324,214.07526134734
325,214.32521476986184
326,213.5068509417585
327,213.35399024578797
328,215.22608458908093
329,212.67176454889878
330,211.5226887935156
331,211.3163600001803
332,211.69820084988706
333,211.93370353038011
334,213.45449288378467
335,213.20644085788453
336,210.82080467318613
337,211.0193364755961
338,211.2288669959711
339,210.6315797868105
340,208.55492641489616
341,208.74087873840472
342,208.52128441291686
343,209.23082428981436
344,209.25982879390756
345,209.06270081607585
346,209.30437931287685
347,209.38882763921526
348,206.5476294739539
349,206.44827170905904
350,206.49388319438194
351,206.9637434659632
352,205.65823190784556
353,205.76442158456575
354,204.1167242489316
355,202.66989403367123
356,202.81819881704007
357,202.4694203536585
358,202.24321435066378
359,201.2882116002638
360,201.12371265504774
361,201.0339296282777
362,201.6479840512575
363,203.14792544145104
364,200.36889915438908
365,200.69728297829388
366,200.14069371059526
367,198.88027868411646
368,198.52549460582634
369,194.52471262641117
370,193.8054576544031
371,193.47515997763796
372,193.45405168829063
373,193.01790841100856
374,193.41272107172006
375,193.54798189890892
376,193.42662761155577
377,191.6443992523105
378,192.5814496775323
379,195.56205977524843
380,195.72148129496262
381,194.75596010464594
382,192.4095462715469
383,192.1225940912699
384,191.87077917189063
385,191.00225063173926
386,187.44829178180677
387,187.86001758517682
388,187.56501899806455
389,187.89821542017825
390,187.5908195848646
391,188.62154076935497
392,186.5511394006839
393,185.5079087547601
394,185.8844107258573
395,186.82594318300437
396,186.3465283353471
397,186.50879269077933
398,186.4776582147624
399,186.02992116638524
400,186.62673901933522
401,187.44646819639144
402,187.003729045517
403,189.67720205550563
404,189.96565667807542
405,190.52039785803404
406,189.6753487797109
407,189.2273928625475
408,189.57710601293664
409,189.59519140883071
410,190.60815595957823
411,191.01777669793407
412,193.6718368401321
413,194.21727480352885
414,194.8317106177948
415,192.91873003759562
416,193.73715355394836
417,194.2739637821452
418,193.7910495235773
419,189.93504225467058
420,190.3415744812255
421,190.7942154182755
422,188.9758214296422
423,186.99348843030856
424,186.58659922851422
425,186.55889637573105
426,187.01975727216396
427,188.06159040693404
428,188.21856233793957
429,190.32808457441425
430,191.32884068336415
431,191.1022124685712
432,190.66829092646947
433,190.43265777137546
434,191.0065069931448
435,190.87083526164207
436,193.23086368967432
437,193.45653926330502
438,193.50233419300423
439,193.08720999695856
440,192.6461656754357
441,192.02778115276297
442,189.81665813751914
443,187.1923868693496
444,185.31625663245103
445,183.079433190793
446,182.54917004682255
447,182.67700445400249
448,185.33076034192646
449,185.01108958074107
450,185.2374901498116
451,185.5242886756356
452,186.2221174190676
453,186.2733741840826
454,187.9301778947033
455,189.09523578386055
456,186.2978598911233
457,184.0984989334993
458,185.0424119831403
459,185.10903139471347
460,185.28889583604408
461,185.9791770298878
462,183.96503542130554
463,183.86453779083115
464,182.9117842074282
465,180.25499915126366
466,180.09051757914312
467,180.80112744229987
468,179.1007027525857
469,183.48957311574114
470,180.88227541574813
471,181.33230403890641
472,181.19670718156968
473,180.44118738684824
474,177.76888014793727
475,177.46619585968216
476,177.90615523551165
477,179.83177769742304
478,179.0151628419228
479,178.93397571473434
480,177.62271344373056
481,178.64852283836026
482,181.0232800116164
483,180.84242242052358
484,180.57060290212112
485,181.95416106429772
486,186.29026674910364
487,183.6878214521191
488,183.92486433900666
489,181.95049533081047
490,182.204673423332
491,179.36712656297084
492,182.2054105645533
493,183.03706106154223
494,183.0559669944198
495,181.93559390984453
496,182.52253735971811
497,182.69218756519916
498,182.79508428648734
499,183.1288620467455
500,182.4195903218359
501,182.40847854715844
502,180.9602020227523
503,180.40272825352702
504,180.26227244036417
505,177.44080060843373
506,179.0451936918073
507,179.53206705950197
508,179.30681681557192
509,179.9808806803564
510,179.63131810340485
511,178.6740912822288
512,177.84635720855303
513,177.85436991099905
514,176.69289944037635
515,176.6164460520015
516,173.7566050453929
517,173.1472786756967
518,172.96833924176985
519,177.12633733146208
520,177.70686583902966
521,178.2119519644656
522,180.37115723993037
523,182.80702155020634
524,183.2156769188667
525,183.77668128409223
526,181.11674009980456
527,177.6960430052199
528,177.28097988771006
529,177.37718118171364
530,177.77165667142674
531,176.37466263233327
532,176.91130138338278
533,177.44715156707912
534,177.2622655320465
535,177.9530563946404
536,178.14493616863197
537,177.92778165473086
538,178.3524129861904
539,179.39386839791925
540,182.15089629225392
541,182.6974414879254
542,185.4919994312935
543,185.0684342882522
544,187.49770208452298
545,189.5666129918413
546,190.0262227893788
547,190.0146356093993
548,189.3956642558347
549,187.43215197921705
550,181.88541672880777
551,181.92377603376175
552,181.10594002697064
553,181.44436863044135
554,178.39977512822563
555,177.9986348022107
556,180.84471490953055
557,183.42880125787752
558,183.2236059410304
559,183.25303552420442
560,178.82759228352361
561,178.37446936278462
562,180.70806762301478
563,181.38672202822897
564,182.5974885098225
565,185.6185730304747
566,185.56745856501354
567,183.19699952562752
568,185.85546215261093
569,186.43771204618392
570,188.40065718269037
571,188.66890866314097
572,185.7338618872169
573,186.45893448113654
574,189.16353052178422
575,189.64805523734816
576,189.36716546070488
577,188.87049537193423
578,189.5706401894911
579,189.54994683954735
580,191.48836782715367
581,191.5392652925845
582,192.1509747657751
583,192.4471807769614
584,193.1403057191836
585,193.05310925747767
586,192.35512476912263
587,195.00630431918438
588,195.48198676860466
589,198.09608340213498
590,196.17364910052984
591,198.65703940939292
592,198.59624295863324
593,197.70041107945252
594,197.24123757044904
595,197.35624815157902
596,197.49636914252494
597,197.90409795284563
598,198.11545620069057
599,195.66334196433695
600,196.0926241767969
601,195.82678331959724
602,197.13439828755799
603,197.64111707100858
604,197.53640116992406
605,199.8360218592245
606,199.8064017268098
607,200.72052859142292
608,200.83335983454816
609,200.1370623899329
610,200.55414786264456
611,201.20040288419105
612,201.86028659197143
613,202.1640995234833
614,203.24291479824987
615,203.03136288616108
616,205.7940611958319
617,205.6032438876578
618,206.47545006932722
619,207.13943594975908
620,206.3588387857318
621,206.70946867530148
622,205.53574506482724
623,204.66940121864772
624,203.8795734967953
625,202.70152846888013
626,204.6367251437849
627,207.4113798159686
628,208.11531267983042
629,208.28687940280764
630,208.54855231103267
631,210.27560060435374
632,210.14173705949304
633,210.08560076294683
634,209.65276058839933
635,207.077975331413
636,205.9679724962571
637,205.91955655358765
638,205.8969959421708
639,205.48566446333902
640,205.12511864554955
641,205.49522942690163
642,205.4877115972348
643,208.56970284485257
644,207.76871069557458
645,208.1652606132178
646,208.06723680584454
647,208.51053206846677
648,209.17711842925294
649,211.3357404187595
650,217.35108149031825
651,217.29674090721372
652,218.4867679894283
653,215.88269684882889
654,217.8891694138091
655,218.77516817927713
656,218.89974093984083
657,218.63003941136338
658,218.55824792588894
659,219.2082801395594
660,223.72572765788433
661,224.27024747347582
662,224.04519993693538
663,223.93273106116848
664,227.04419839428826
665,226.17633163910486
666,226.6336296106024
667,229.2839408850463
668,226.66281083240443
669,226.87113218708552
670,228.0955791402672
671,225.20314227706496
672,227.9655399869537
673,228.61509214783217
674,228.48676941923776
675,227.81185561440466
